wl,mean_mjoebergi,sd_mjoebergi,mean_leptodactyla,sd_leptodactyla
417,19.15476708,7.883070883,23.67937996,9.408615042
418,19.11224215,7.926155154,23.7794423,9.396391139
419,19.07494314,7.972528819,23.88536835,9.384116405
420,19.04195682,8.020409495,23.99352345,9.37161002
421,19.01236992,8.068014802,24.1002725,9.358673244
422,18.98526921,8.113562359,24.20197994,9.345088206
423,18.95974144,8.155269786,24.29500977,9.33061888
424,18.93487335,8.1913547,24.37572561,9.315014234
425,18.9097517,8.220034723,24.44049085,9.298013576
426,18.88346324,8.239527471,24.50056525,9.279057786
427,18.85956348,8.250797309,24.56858697,9.258020642
428,18.84177747,8.256532764,24.64298692,9.235288588
429,18.82944627,8.257537712,24.72219593,9.211244557
430,18.82191094,8.254616023,24.80464462,9.186263186
431,18.81851256,8.248571571,24.88876332,9.160707001
432,18.81859217,8.240208228,24.972982,9.134923586
433,18.82149086,8.230329866,25.05573021,9.109243774
434,18.82654969,8.21974036,25.13543708,9.083980891
435,18.83310971,8.20924358,25.21053133,9.059431103
436,18.840512,8.1996434,25.27944128,9.035874904
437,18.84809762,8.191743693,25.34059495,9.013579789
438,18.85520763,8.18634833,25.39242012,8.992804136
439,18.8611831,8.184261185,25.43771952,8.971586778
440,18.86799116,8.18204289,25.48050294,8.948132602
441,18.87790282,8.176190226,25.52100857,8.922941414
442,18.89071501,8.167411283,25.55947443,8.896505558
443,18.90622464,8.156414155,25.59613828,8.869307442
444,18.92422865,8.143906934,25.63123762,8.841817814
445,18.94452395,8.130597712,25.66500962,8.814494798
446,18.96690746,8.117194582,25.69769116,8.787783756
447,18.9911761,8.104405636,25.7295188,8.762117989
448,19.01712679,8.092938966,25.76072886,8.737920332
449,19.04455646,8.083502664,25.79155748,8.715605679
450,19.07326202,8.076804824,25.82224066,8.695584455
451,19.10304039,8.073553537,25.84881506,8.676713406
452,19.13226262,8.068991581,25.8679905,8.657634881
453,19.15991591,8.058722561,25.88101275,8.638438015
454,19.18672149,8.043995811,25.88912756,8.6192119
455,19.21340055,8.026060664,25.89358068,8.600043992
456,19.24067428,8.006166454,25.89561775,8.581018876
457,19.2692639,7.985562516,25.89648434,8.562217384
458,19.29989061,7.965498182,25.89742591,8.54371609
459,19.33327561,7.947222787,25.89968782,8.525587171
460,19.3701401,7.931985663,25.90451532,8.507898654
461,19.41120529,7.921036146,25.91315357,8.490715049
462,19.45719237,7.915623569,25.92684769,8.474098376
463,19.50882256,7.916997265,25.94684275,8.458109597
464,19.56681705,7.926406568,25.9674148,8.44330899
465,19.62521731,7.932518716,25.98277183,8.430058008
466,19.67873231,7.925444435,25.99405697,8.418122064
467,19.72908444,7.908598302,26.00241331,8.407265327
468,19.77799613,7.885394887,26.00898379,8.397246053
469,19.82718979,7.859248765,26.01491111,8.38781307
470,19.87838782,7.833574509,26.02133772,8.378703439
471,19.93331265,7.811786693,26.02940571,8.369641272
472,19.99368668,7.797299888,26.04025687,8.360337724
473,20.06123232,7.79352867,26.05503273,8.35049214
474,20.13767199,7.80388761,26.07487454,8.339794367
475,20.22472811,7.831791282,26.10092343,8.327928212
476,20.32412307,7.880654259,26.13117932,8.316010554
477,20.42874701,7.938531576,26.16285539,8.305259213
478,20.53126396,7.992478689,26.19591262,8.295507508
479,20.63305717,8.04441081,26.23031192,8.286585358
