SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Sep 10 19:21:26 GMT-03:00 2018
User: Diogo
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4H02279
Integration Time (usec): 789998 (USB4H02279)
Spectra Averaged: 5 (USB4H02279)
Boxcar Smoothing: 5 (USB4H02279)
Correct for Electrical Dark: No (USB4H02279)
Strobe/Lamp Enabled: No (USB4H02279)
Correct for Detector Non-linearity: No (USB4H02279)
Correct for Stray Light: No (USB4H02279)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,80	280,000
178,02	280,000
178,23	280,000
178,45	149,265
178,67	51,852
178,89	49,682
179,11	95,455
179,33	70,400
179,55	93,011
179,76	82,927
179,98	-792,308
180,20	197,260
180,42	85,263
180,64	135,829
180,86	133,981
181,07	114,449
181,29	47,977
181,51	34,434
181,73	18,466
181,95	15,282
182,17	-7,074
182,39	-34,672
182,60	-73,446
182,82	-71,186
183,04	-198,462
183,26	-172,727
183,48	-65,263
183,70	-45,455
183,91	18,705
184,13	29,775
184,35	-30,526
184,57	-143,182
184,79	-59,358
185,01	-18,015
185,22	-54,945
185,44	-93,091
185,66	-86,219
185,88	-96,053
186,10	-73,518
186,31	-65,700
186,53	-9,645
186,75	30,275
186,97	56,507
187,19	83,819
187,41	89,922
187,62	146,269
187,84	175,385
188,06	170,320
188,28	116,535
188,50	148,649
188,71	118,462
188,93	53,617
189,15	45,455
189,37	9,845
189,59	-7,813
189,81	30,867
190,02	24,936
190,24	16,705
190,46	6,783
190,68	1,462
190,90	-15,625
191,11	-42,246
191,33	-12,698
191,55	-362,162
191,77	-152,336
191,99	-114,844
192,20	-102,679
192,42	-174,286
192,64	-115,385
192,86	-50,000
193,07	-6,780
193,29	54,585
193,51	53,674
193,73	23,214
193,95	53,488
194,16	56,383
194,38	56,619
194,60	58,134
194,82	52,720
195,04	70,000
195,25	133,831
195,47	200,000
195,69	169,027
195,91	-739,130
196,13	-309,836
196,34	2371,429
196,56	777,778
196,78	134,091
197,00	33,600
197,21	154,762
197,43	300,000
197,65	51,111
197,87	2,667
198,08	19,266
198,30	28,625
198,52	11,070
198,74	36,047
198,96	22,348
199,17	38,956
199,39	64,057
199,61	38,176
199,83	58,065
200,04	81,029
200,26	88,547
200,48	84,274
200,70	109,415
200,91	89,597
201,13	93,474
201,35	130,958
201,57	139,500
201,78	175,768
202,00	188,785
202,22	160,526
202,44	127,737
202,65	143,333
202,87	92,609
203,09	80,788
203,31	120,000
203,52	131,984
203,74	98,431
203,96	109,657
204,18	132,069
204,39	106,828
204,61	72,711
204,83	94,043
205,05	121,893
205,26	118,844
205,48	125,704
205,70	98,802
205,92	103,560
206,13	69,667
206,35	43,038
206,57	29,114
206,79	-57,143
207,00	-5,579
207,22	64,923
207,44	43,048
207,65	31,757
207,87	23,965
208,09	19,767
208,31	8,090
208,52	20,777
208,74	0,000
208,96	-16,296
209,18	-3,448
209,39	10,811
209,61	-21,394
209,83	-61,794
210,04	-26,361
210,26	-23,364
210,48	20,539
210,70	54,455
210,91	51,100
211,13	52,793
211,35	80,365
211,56	70,904
211,78	63,859
212,00	58,402
212,22	91,932
212,43	88,389
212,65	135,789
212,87	172,785
213,08	108,299
213,30	126,977
213,52	153,333
213,74	98,370
213,95	287,640
214,17	293,694
214,39	329,310
214,60	98,765
214,82	117,708
215,04	83,523
215,25	67,677
215,47	26,446
215,69	17,474
215,90	24,352
216,12	5,514
216,34	-8,969
216,56	-12,015
216,77	-11,594
216,99	25,461
217,21	34,662
217,42	41,942
217,64	45,063
217,86	42,429
218,07	66,066
218,29	36,779
218,51	50,000
218,72	59,279
218,94	39,458
219,16	37,077
219,37	26,477
219,59	19,753
219,81	11,286
220,02	12,989
220,24	16,818
220,46	5,916
220,67	21,474
220,89	12,952
221,11	0,905
221,32	8,304
221,54	7,175
221,76	6,469
221,97	6,477
222,19	6,650
222,41	6,667
222,62	8,000
222,84	4,417
223,06	1,716
223,27	0,481
223,49	1,896
223,71	-1,500
223,92	-7,855
224,14	-6,144
224,36	-1,280
224,57	-4,427
224,79	-1,741
225,01	-1,698
225,22	0,066
225,44	0,132
225,66	-0,707
225,87	-1,149
226,09	-0,417
226,31	-0,666
226,52	1,604
226,74	0,225
226,96	1,599
227,17	1,776
227,39	1,917
227,60	1,426
227,82	2,427
228,04	2,613
228,25	2,882
228,47	2,951
228,69	4,262
228,90	2,963
229,12	2,097
229,34	1,414
229,55	0,467
229,77	0,750
229,98	0,860
230,20	0,892
230,42	1,174
230,63	0,582
230,85	0,810
231,07	0,802
231,28	0,366
231,50	0,479
231,71	0,595
231,93	1,183
232,15	1,176
232,36	1,571
232,58	1,817
232,79	1,806
233,01	1,693
233,23	1,618
233,44	1,534
233,66	1,947
233,88	2,043
234,09	1,634
234,31	1,467
234,52	1,416
234,74	1,120
234,96	0,764
235,17	1,351
235,39	1,769
235,60	2,711
235,82	2,358
236,04	2,684
236,25	3,093
236,47	3,180
236,68	3,139
236,90	3,111
237,12	3,366
237,33	3,856
237,55	3,480
237,76	3,471
237,98	2,937
238,20	3,218
238,41	2,854
238,63	2,602
238,84	2,723
239,06	3,008
239,27	2,900
239,49	2,889
239,71	2,707
239,92	2,906
240,14	2,923
240,35	2,822
240,57	2,985
240,79	2,984
241,00	2,862
241,22	3,716
241,43	3,397
241,65	3,760
241,86	3,488
242,08	3,275
242,30	2,976
242,51	1,394
242,73	1,404
242,94	1,397
243,16	1,674
243,37	1,777
243,59	1,155
243,81	1,472
244,02	1,230
244,24	1,762
244,45	2,178
244,67	2,572
244,88	4,042
245,10	4,483
245,31	4,433
245,53	4,583
245,75	5,046
245,96	5,250
246,18	5,348
246,39	5,681
246,61	5,508
246,82	5,748
247,04	5,780
247,25	5,753
247,47	5,762
247,69	5,722
247,90	5,402
248,12	5,228
248,33	5,428
248,55	5,581
248,76	5,576
248,98	6,074
249,19	5,980
249,41	6,192
249,62	6,496
249,84	6,576
250,05	7,126
250,27	7,890
250,49	7,898
250,70	8,239
250,92	8,145
251,13	8,171
251,35	8,081
251,56	8,132
251,78	8,032
251,99	8,270
252,21	7,863
252,42	7,664
252,64	6,951
252,85	6,953
253,07	6,586
253,28	6,627
253,50	6,621
253,71	6,583
253,93	6,259
254,14	6,245
254,36	5,646
254,57	5,859
254,79	5,617
255,00	5,809
255,22	5,868
255,44	5,519
255,65	5,538
255,87	5,524
256,08	5,536
256,30	5,864
256,51	5,885
256,73	6,159
256,94	6,168
257,16	6,282
257,37	6,276
257,59	6,472
257,80	6,786
258,02	6,578
258,23	6,591
258,45	6,452
258,66	6,122
258,88	5,971
259,09	5,974
259,31	5,915
259,52	5,961
259,73	6,354
259,95	6,282
260,16	6,333
260,38	6,736
260,59	6,818
260,81	6,775
261,02	7,249
261,24	7,281
261,45	7,343
261,67	7,664
261,88	7,880
262,10	7,597
262,31	7,382
262,53	7,166
262,74	7,185
262,96	7,098
263,17	7,227
263,39	6,899
263,60	7,085
263,82	6,944
264,03	6,753
264,25	6,447
264,46	6,639
264,67	6,629
264,89	7,004
265,10	7,073
265,32	7,036
265,53	7,116
265,75	7,542
265,96	7,405
266,18	7,410
266,39	7,565
266,61	7,925
266,82	7,915
267,03	8,239
267,25	8,262
267,46	7,907
267,68	8,131
267,89	7,958
268,11	7,788
268,32	7,873
268,54	7,959
268,75	7,940
268,97	8,037
269,18	7,902
269,39	7,723
269,61	7,638
269,82	7,939
270,04	8,296
270,25	8,636
270,47	8,829
270,68	8,876
270,89	8,980
271,11	8,907
271,32	8,695
271,54	8,886
271,75	8,927
271,97	9,073
272,18	8,951
272,39	8,357
272,61	8,205
272,82	8,086
273,04	8,150
273,25	8,066
273,47	8,147
273,68	7,984
273,89	7,919
274,11	7,658
274,32	7,555
274,54	7,614
274,75	7,667
274,97	7,675
275,18	7,579
275,39	7,518
275,61	7,815
275,82	7,853
276,04	7,901
276,25	8,300
276,46	8,500
276,68	8,577
276,89	8,427
277,11	8,544
277,32	8,329
277,53	8,133
277,75	8,290
277,96	7,993
278,18	8,251
278,39	8,655
278,60	8,332
278,82	8,652
279,03	8,265
279,25	8,349
279,46	8,104
279,67	8,020
279,89	8,069
280,10	7,999
280,32	7,822
280,53	7,243
280,74	6,788
280,96	6,665
281,17	6,293
281,38	6,489
281,60	6,462
281,81	6,450
282,03	6,749
282,24	6,498
282,45	6,230
282,67	6,717
282,88	6,923
283,09	6,724
283,31	6,804
283,52	6,702
283,74	6,768
283,95	6,743
284,16	6,734
284,38	6,452
284,59	6,537
284,80	6,581
285,02	6,095
285,23	5,877
285,45	6,287
285,66	6,117
285,87	6,367
286,09	5,883
286,30	5,997
286,51	6,361
286,73	6,326
286,94	6,614
287,15	6,620
287,37	6,576
287,58	6,991
287,79	6,693
288,01	6,641
288,22	6,539
288,43	6,930
288,65	6,674
288,86	6,731
289,08	6,837
289,29	6,874
289,50	6,622
289,72	7,060
289,93	6,828
290,14	6,796
290,36	6,967
290,57	6,996
290,78	6,794
291,00	6,899
291,21	6,748
291,42	6,751
291,64	6,539
291,85	7,103
292,06	6,867
292,28	6,795
292,49	6,906
292,70	6,947
292,92	6,901
293,13	7,062
293,34	7,155
293,55	7,296
293,77	7,391
293,98	7,439
294,19	7,257
294,41	7,353
294,62	7,582
294,83	7,638
295,05	7,339
295,26	7,483
295,47	7,481
295,69	7,529
295,90	7,251
296,11	7,121
296,33	7,129
296,54	7,045
296,75	6,914
296,96	6,757
297,18	7,006
297,39	7,361
297,60	7,421
297,82	7,401
298,03	7,439
298,24	7,677
298,46	7,588
298,67	7,662
298,88	7,581
299,09	7,492
299,31	7,452
299,52	7,140
299,73	6,996
299,95	6,759
300,16	6,664
300,37	7,018
300,58	6,770
300,80	7,145
301,01	7,177
301,22	7,298
301,44	7,449
301,65	7,582
301,86	7,440
302,07	7,434
302,29	7,706
302,50	7,793
302,71	7,348
302,93	7,274
303,14	7,199
303,35	7,291
303,56	7,131
303,78	6,985
303,99	6,765
304,20	7,074
304,41	6,867
304,63	6,566
304,84	6,248
305,05	6,424
305,27	6,447
305,48	6,340
305,69	6,052
305,90	6,159
306,12	6,103
306,33	6,053
306,54	5,721
306,75	5,692
306,97	5,473
307,18	5,622
307,39	5,528
307,60	5,787
307,82	5,812
308,03	5,658
308,24	5,493
308,45	5,423
308,67	5,337
308,88	5,376
309,09	5,602
309,30	5,875
309,51	6,013
309,73	5,867
309,94	5,556
310,15	5,527
310,36	5,771
310,58	5,698
310,79	5,488
311,00	5,786
311,21	5,884
311,43	5,689
311,64	5,545
311,85	5,640
312,06	5,780
312,28	6,158
312,49	5,971
312,70	5,789
312,91	5,930
313,12	6,125
313,34	5,814
313,55	5,765
313,76	5,780
313,97	5,680
314,18	5,506
314,40	5,483
314,61	5,223
314,82	5,059
315,03	4,971
315,25	4,908
315,46	4,896
315,67	5,013
315,88	4,880
316,09	4,710
316,31	4,891
316,52	4,875
316,73	4,333
316,94	4,562
317,15	4,936
317,37	5,071
317,58	4,953
317,79	5,095
318,00	5,282
318,21	5,754
318,43	5,717
318,64	5,556
318,85	5,412
319,06	5,714
319,27	5,566
319,49	5,616
319,70	5,746
319,91	5,845
320,12	5,691
320,33	5,767
320,54	5,170
320,76	5,153
320,97	5,200
321,18	5,280
321,39	5,117
321,60	5,240
321,81	4,971
322,03	4,868
322,24	4,809
322,45	4,812
322,66	4,590
322,87	4,728
323,09	4,710
323,30	4,635
323,51	4,621
323,72	4,747
323,93	4,261
324,14	4,139
324,36	3,864
324,57	3,752
324,78	3,749
324,99	3,692
325,20	3,599
325,41	3,917
325,62	3,837
325,84	3,861
326,05	3,509
326,26	3,722
326,47	3,735
326,68	4,238
326,89	4,386
327,10	4,810
327,32	4,538
327,53	4,711
327,74	4,461
327,95	4,556
328,16	4,305
328,37	4,638
328,58	4,496
328,80	4,220
329,01	3,643
329,22	3,466
329,43	3,207
329,64	3,344
329,85	3,402
330,06	3,352
330,28	3,258
330,49	3,409
330,70	3,061
330,91	3,158
331,12	3,307
331,33	3,456
331,54	3,414
331,75	3,355
331,97	3,227
332,18	3,084
332,39	3,554
332,60	3,722
332,81	3,648
333,02	3,715
333,23	3,684
333,44	3,711
333,65	3,776
333,87	3,781
334,08	3,604
334,29	3,650
334,50	3,456
334,71	2,948
334,92	2,755
335,13	2,784
335,34	3,172
335,55	3,284
335,77	3,327
335,98	3,415
336,19	3,481
336,40	3,424
336,61	3,724
336,82	3,840
337,03	3,841
337,24	3,888
337,45	3,783
337,66	3,529
337,87	3,592
338,09	3,683
338,30	3,487
338,51	3,513
338,72	3,738
338,93	3,662
339,14	3,458
339,35	3,943
339,56	3,882
339,77	4,127
339,98	4,158
340,19	3,920
340,40	3,739
340,62	3,837
340,83	3,723
341,04	3,579
341,25	3,436
341,46	3,656
341,67	3,374
341,88	3,314
342,09	3,133
342,30	3,195
342,51	3,193
342,72	3,214
342,93	3,027
343,14	3,713
343,35	3,549
343,56	3,723
343,78	3,712
343,99	3,725
344,20	3,831
344,41	3,837
344,62	3,678
344,83	3,630
345,04	3,599
345,25	3,693
345,46	3,129
345,67	3,240
345,88	3,097
346,09	3,111
346,30	3,146
346,51	3,397
346,72	4,007
346,93	4,054
347,14	3,971
347,35	3,935
347,56	3,945
347,77	3,907
347,98	3,883
348,19	3,871
348,40	4,047
348,61	3,809
348,83	3,597
349,04	2,878
349,25	2,793
349,46	2,899
349,67	3,160
349,88	3,371
350,09	3,340
350,30	3,562
350,51	3,802
350,72	3,473
350,93	3,371
351,14	3,382
351,35	3,338
351,56	3,168
351,77	3,283
351,98	3,329
352,19	3,077
352,40	3,050
352,61	2,710
352,82	2,605
353,03	2,898
353,24	2,947
353,45	2,792
353,66	3,261
353,87	3,520
354,08	3,326
354,29	3,025
354,50	2,959
354,71	3,063
354,92	3,032
355,13	2,709
355,34	2,715
355,55	2,868
355,76	2,921
355,97	2,513
356,18	2,344
356,39	2,566
356,60	2,579
356,81	2,484
357,02	2,280
357,23	2,580
357,44	2,519
357,65	2,223
357,86	2,100
358,07	1,977
358,28	2,310
358,49	2,460
358,70	2,304
358,91	2,312
359,12	2,564
359,32	2,647
359,53	2,313
359,74	2,438
359,95	2,804
360,16	2,743
360,37	2,734
360,58	2,526
360,79	2,996
361,00	2,900
361,21	2,903
361,42	2,857
361,63	3,024
361,84	3,519
362,05	3,617
362,26	3,307
362,47	3,386
362,68	3,566
362,89	3,862
363,10	3,406
363,31	3,480
363,52	3,633
363,73	3,913
363,94	3,732
364,14	3,580
364,35	3,429
364,56	3,402
364,77	3,365
364,98	3,813
365,19	3,866
365,40	3,744
365,61	3,738
365,82	3,650
366,03	3,295
366,24	3,321
366,45	3,245
366,66	3,417
366,87	3,428
367,08	3,474
367,29	3,203
367,49	2,853
367,70	3,187
367,91	3,286
368,12	3,371
368,33	3,490
368,54	3,397
368,75	3,314
368,96	3,287
369,17	3,606
369,38	3,651
369,59	3,609
369,80	4,126
370,00	3,950
370,21	3,803
370,42	3,668
370,63	3,951
370,84	4,194
371,05	4,032
371,26	4,298
371,47	3,995
371,68	3,909
371,89	3,872
372,09	3,570
372,30	3,623
372,51	4,017
372,72	4,040
372,93	3,813
373,14	3,865
373,35	3,976
373,56	3,775
373,77	3,767
373,98	3,887
374,18	3,862
374,39	3,576
374,60	3,529
374,81	3,249
375,02	3,264
375,23	3,300
375,44	3,333
375,65	3,414
375,85	3,411
376,06	3,812
376,27	3,944
376,48	3,841
376,69	3,817
376,90	3,936
377,11	4,137
377,32	4,251
377,52	4,159
377,73	4,006
377,94	4,470
378,15	4,661
378,36	4,819
378,57	4,659
378,78	4,988
378,98	5,730
379,19	5,847
379,40	5,839
379,61	5,962
379,82	5,966
380,03	6,069
380,24	5,743
380,44	5,350
380,65	5,020
380,86	5,228
381,07	4,982
381,28	4,431
381,49	4,332
381,70	4,196
381,90	4,060
382,11	4,117
382,32	4,110
382,53	4,229
