SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Mon Jul 30 14:36:30 ART 2018
User: Diogo
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4J00421
Integration Time (usec): 1091828 (USB4J00421)
Spectra Averaged: 5 (USB4J00421)
Boxcar Smoothing: 5 (USB4J00421)
Correct for Electrical Dark: No (USB4J00421)
Strobe/Lamp Enabled: No (USB4J00421)
Correct for Detector Non-linearity: No (USB4J00421)
Correct for Stray Light: No (USB4J00421)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,28	0,000
177,50	0,000
177,72	0,000
177,94	-99,174
178,16	62,302
178,37	-43,689
178,59	-47,932
178,81	-47,069
179,03	-40,222
179,25	-36,538
179,47	-56,515
179,69	-57,872
179,90	-73,784
180,12	-69,823
180,34	-47,214
180,56	-12,372
180,78	0,623
181,00	0,820
181,22	13,423
181,43	10,625
181,65	17,647
181,87	21,170
182,09	16,993
182,31	8,842
182,53	3,948
182,74	-9,316
182,96	-19,721
183,18	-25,892
183,40	-13,463
183,62	-23,412
183,84	-9,367
184,05	-3,802
184,27	-9,504
184,49	-1,910
184,71	0,446
184,93	9,367
185,15	8,844
185,36	8,326
185,58	7,958
185,80	1,706
186,02	1,485
186,24	-14,334
186,45	-28,571
186,67	-34,664
186,89	-29,001
187,11	-15,991
187,33	-11,797
187,55	-6,617
187,76	8,183
187,98	16,746
188,20	13,388
188,42	18,928
188,64	27,002
188,85	19,589
189,07	23,146
189,29	21,555
189,51	22,985
189,73	20,388
189,94	19,518
190,16	11,478
190,38	1,560
190,60	4,790
190,82	-2,686
191,03	-18,541
191,25	-6,582
191,47	-11,488
191,69	-13,819
191,91	-18,105
192,12	-23,906
192,34	-32,877
192,56	-44,150
192,78	-33,315
193,00	-36,136
193,21	-47,666
193,43	-39,675
193,65	-32,931
193,87	-28,855
194,09	-21,720
194,30	-18,162
194,52	-18,571
194,74	-12,808
194,96	-3,663
195,17	-26,949
195,39	-22,458
195,61	-7,802
195,83	-6,658
196,05	-5,979
196,26	-4,087
196,48	-3,686
196,70	-3,315
196,92	7,002
197,13	10,951
197,35	6,989
197,57	20,391
197,79	16,302
198,01	4,404
198,22	-1,309
198,44	4,357
198,66	5,175
198,88	-6,979
199,09	-7,721
199,31	-8,927
199,53	-8,996
199,75	-10,383
199,96	-11,320
200,18	-13,219
200,40	-6,297
200,62	-69,870
200,83	-89,620
201,05	-83,178
201,27	-77,702
201,49	-86,778
201,70	-83,994
201,92	-109,869
202,14	-86,798
202,36	-118,661
202,57	-98,980
202,79	-107,538
203,01	-13,377
203,23	-9,043
203,44	-2,930
203,66	10,729
203,88	16,667
204,10	12,716
204,31	23,832
204,53	31,485
204,75	30,891
204,97	22,997
205,18	34,781
205,40	27,775
205,62	31,392
205,84	23,060
206,05	12,710
206,27	20,068
206,49	23,629
206,71	17,762
206,92	21,821
207,14	29,200
207,36	32,573
207,57	23,499
207,79	32,901
208,01	30,208
208,23	30,685
208,44	34,816
208,66	24,156
208,88	16,626
209,10	21,373
209,31	4,721
209,53	9,909
209,75	6,914
209,96	12,638
210,18	17,733
210,40	5,266
210,62	13,495
210,83	11,047
211,05	11,090
211,27	5,911
211,48	5,628
211,70	4,098
211,92	-0,733
212,14	-3,413
212,35	-10,512
212,57	-13,059
212,79	-6,813
213,00	-10,129
213,22	-7,437
213,44	0,529
213,65	1,401
213,87	7,343
214,09	14,504
214,31	14,492
214,52	13,272
214,74	22,338
214,96	11,978
215,17	9,917
215,39	1,850
215,61	2,237
215,82	-6,281
216,04	-1,818
216,26	-14,163
216,47	-7,339
216,69	-8,479
216,91	-4,604
217,13	-8,744
217,34	-1,942
217,56	-0,142
217,78	-0,104
217,99	-5,508
218,21	3,277
218,43	-1,733
218,64	4,575
218,86	1,352
219,08	3,924
219,29	11,006
219,51	16,675
219,73	22,877
219,94	29,378
220,16	41,255
220,38	44,831
220,59	45,252
220,81	43,764
221,03	44,839
221,24	42,041
221,46	43,912
221,68	43,368
221,89	48,181
222,11	44,382
222,33	33,850
222,54	21,560
222,76	14,766
222,98	11,050
223,19	8,063
223,41	22,979
223,63	16,962
223,84	9,673
224,06	1,258
224,28	-20,765
224,49	-19,012
224,71	-0,096
224,93	8,309
225,14	16,907
225,36	16,436
225,57	29,012
225,79	8,988
226,01	10,512
226,22	16,861
226,44	13,173
226,66	26,558
226,87	24,268
227,09	13,897
227,31	5,727
227,52	5,699
227,74	8,972
227,96	11,657
